Model Score Threshold,F1
0.0,
0.01,0.6511119212541014
0.02,0.6472109346139638
0.03,0.6445603576751118
0.04,0.6414809217982622
0.05,0.6401833460656989
0.06,0.6342217072228659
0.07,0.6319906140007822
0.08,0.628503750493486
0.09,0.6249002394253791
0.1,0.6216653193209377
0.11,0.6154474867184307
0.12,0.6134766432410086
0.13,0.6085141903171953
0.14,0.6032013479359731
0.15,0.5963263562580094
0.16,0.5932642487046632
0.17,0.5919165580182529
0.18,0.5881838074398249
0.19,0.5849139832377591
0.2,0.5842596709648733
0.21,0.5816876122082585
0.22,0.5764705882352941
0.23,0.5763793889648883
0.24,0.5743212149102623
0.25,0.5699674569967457
0.26,0.56727613689639
0.27,0.5615530303030303
0.28,0.5588516746411484
0.29,0.5576923076923077
0.3,0.5542635658914729
0.31,0.5502439024390245
0.32,0.5462598425196851
0.33,0.5381927109335997
0.34,0.5345436207766011
0.35,0.5321844906234161
0.36,0.5253456221198157
0.37,0.5229974160206718
0.38,0.51875
0.39,0.513655462184874
0.4,0.5069075451647184
0.41,0.5021505376344086
0.42,0.5008130081300813
0.43,0.4959038776624795
0.44,0.48925619834710743
0.45,0.48747913188647746
0.46,0.48287478944413254
0.47,0.481859410430839
0.48,0.47885714285714287
0.49,0.47492795389048986
0.5,0.4691501746216531
0.51,0.46388725778038753
0.52,0.46244825547013596
0.53,0.453731343283582
0.54,0.44498186215235785
0.55,0.44240196078431376
0.56,0.4373069796170475
0.57,0.436183395291202
0.58,0.4317897371714643
0.59,0.42776025236593057
0.6,0.4249363867684478
0.61,0.42010309278350516
0.62,0.413029315960912
0.63,0.4050131926121372
0.64,0.40186294078509643
0.65,0.392447741065408
0.66,0.38082191780821917
0.67,0.37119113573407203
0.68,0.3631245601688951
0.69,0.35795454545454547
0.7,0.34895457822638787
0.71,0.3435225618631732
0.72,0.33627019089574156
0.73,0.33086053412462907
0.74,0.32030075187969925
0.75,0.3113135914958238
0.76,0.3069838833461243
0.77,0.29393468118195953
0.78,0.28705882352941176
0.79,0.27344992050874406
0.8,0.25946817082997586
0.81,0.24242424242424243
0.82,0.22795341098169716
0.83,0.21922428330522764
0.84,0.20359281437125748
0.85,0.19638242894056845
0.86,0.18739054290718038
0.87,0.1800356506238859
0.88,0.16712079927338783
0.89,0.15837937384898712
0.9,0.1482176360225141
0.91,0.13944603629417382
0.92,0.1280310378273521
0.93,0.10858835143139191
0.94,0.08844221105527639
0.95,0.0676923076923077
0.96,0.05619146722164412
0.97,0.04046858359957402
0.98,0.030270270270270273
0.99,0.00662251655629139
1.0,
